"Product Key","Period Interval","Period Value","Date","Interest Rate","Green"
"BS6MG","M","6","2025-05-02","1.75","true"
"BS12M","M","12","2025-05-02","1.6","false"
"BS4JG","Y","4","2025-05-02","2.15","true"
"BS10J","Y","10","2025-05-02","2.75","false"
"BS1M","M","1","2025-05-02","2","false"
"BS6MG","M","6","2025-05-02","1.75","true"
"BS12M","M","12","2025-05-02","1.6","false"
"BS4JG","Y","4","2025-05-02","2.15","true"
"BS10J","Y","10","2025-05-02","2.75","false"
"BS1M","M","1","2025-05-05","2","false"
"BS6MG","M","6","2025-05-05","1.75","true"
"BS12M","M","12","2025-05-05","1.6","false"
"BS4JG","Y","4","2025-05-05","2.15","true"
"BS10J","Y","10","2025-05-05","2.75","false"
"BS1M","M","1","2025-05-06","2","false"
"BS6MG","M","6","2025-05-06","1.75","true"
"BS12M","M","12","2025-05-06","1.6","false"
"BS4JG","Y","4","2025-05-06","2.15","true"
"BS10J","Y","10","2025-05-06","2.75","false"
"BS1M","M","1","2025-05-07","2","false"
"BS6MG","M","6","2025-05-07","1.75","true"
"BS12M","M","12","2025-05-07","1.6","false"
"BS4JG","Y","4","2025-05-07","2.15","true"
"BS10J","Y","10","2025-05-07","2.75","false"
"BS1M","M","1","2025-05-08","2","false"
"BS6MG","M","6","2025-05-08","1.75","true"
"BS12M","M","12","2025-05-08","1.6","false"
"BS4JG","Y","4","2025-05-08","2.15","true"
"BS10J","Y","10","2025-05-08","2.75","false"
"BS1M","M","1","2025-05-09","2","false"
"BS6MG","M","6","2025-05-09","1.75","true"
"BS12M","M","12","2025-05-09","1.6","false"
"BS4JG","Y","4","2025-05-09","2.15","true"
"BS10J","Y","10","2025-05-09","2.75","false"
"BS1M","M","1","2025-05-12","2","false"
"BS6MG","M","6","2025-05-12","1.75","true"
"BS12M","M","12","2025-05-12","1.6","false"
"BS4JG","Y","4","2025-05-12","2.15","true"
"BS10J","Y","10","2025-05-12","2.75","false"
"BS1M","M","1","2025-05-13","2","false"
"BS6MG","M","6","2025-05-13","1.75","true"
"BS12M","M","12","2025-05-13","1.6","false"
"BS4JG","Y","4","2025-05-13","2.15","true"
"BS10J","Y","10","2025-05-13","2.75","false"
"BS1M","M","1","2025-05-14","2","false"
"BS6MG","M","6","2025-05-14","1.75","true"
"BS12M","M","12","2025-05-14","1.6","false"
"BS4JG","Y","4","2025-05-14","2.15","true"
"BS10J","Y","10","2025-05-14","2.75","false"
"BS1M","M","1","2025-05-15","2","false"
"BS6MG","M","6","2025-05-15","1.75","true"
"BS12M","M","12","2025-05-15","1.6","false"
"BS4JG","Y","4","2025-05-15","2.15","true"
"BS10J","Y","10","2025-05-15","2.75","false"
"BS1M","M","1","2025-05-16","2","false"
"BS6MG","M","6","2025-05-16","1.75","true"
"BS12M","M","12","2025-05-16","1.6","false"
"BS4JG","Y","4","2025-05-16","2.15","true"
"BS10J","Y","10","2025-05-16","2.75","false"
"BS1M","M","1","2025-05-19","2","false"
"BS6MG","M","6","2025-05-19","1.75","true"
"BS12M","M","12","2025-05-19","1.6","false"
"BS4JG","Y","4","2025-05-19","2.15","true"
"BS10J","Y","10","2025-05-19","2.75","false"
"BS1M","M","1","2025-05-20","2","false"
"BS6MG","M","6","2025-05-20","1.75","true"
"BS12M","M","12","2025-05-20","1.6","false"
"BS4JG","Y","4","2025-05-20","2.15","true"
"BS10J","Y","10","2025-05-20","2.75","false"
"BS1M","M","1","2025-05-21","2","false"
"BS6MG","M","6","2025-05-21","1.75","true"
"BS12M","M","12","2025-05-21","1.6","false"
"BS4JG","Y","4","2025-05-21","2.15","true"
"BS10J","Y","10","2025-05-21","2.75","false"
"BS1M","M","1","2025-05-22","2","false"
"BS6MG","M","6","2025-05-22","1.75","true"
"BS12M","M","12","2025-05-22","1.6","false"
"BS4JG","Y","4","2025-05-22","2.15","true"
"BS10J","Y","10","2025-05-22","2.75","false"
"BS1M","M","1","2025-05-23","2","false"
"BS6MG","M","6","2025-05-23","1.75","true"
"BS12M","M","12","2025-05-23","1.6","false"
"BS4JG","Y","4","2025-05-23","2.15","true"
"BS10J","Y","10","2025-05-23","2.75","false"
"BS1M","M","1","2025-05-26","2","false"
"BS6MG","M","6","2025-05-26","1.75","true"
"BS12M","M","12","2025-05-26","1.6","false"
"BS4JG","Y","4","2025-05-26","2.15","true"
"BS10J","Y","10","2025-05-26","2.75","false"
"BS1M","M","1","2025-05-27","2","false"
"BS6MG","M","6","2025-05-27","1.75","true"
"BS12M","M","12","2025-05-27","1.6","false"
"BS4JG","Y","4","2025-05-27","2.15","true"
"BS10J","Y","10","2025-05-27","2.75","false"
"BS1M","M","1","2025-05-28","2","false"
"BS6MG","M","6","2025-05-28","1.75","true"
"BS12M","M","12","2025-05-28","1.6","false"
"BS4JG","Y","4","2025-05-28","2.15","true"
"BS10J","Y","10","2025-05-28","2.75","false"
"BS1M","M","1","2025-05-30","2","false"
"BS6MG","M","6","2025-05-30","1.75","true"
"BS12M","M","12","2025-05-30","1.6","false"
"BS4JG","Y","4","2025-05-30","2.15","true"
"BS10J","Y","10","2025-05-30","2.75","false"
"BS1M","M","1","2025-05-30","2","false"
"BS6MG","M","6","2025-05-30","1.75","true"
"BS12M","M","12","2025-05-30","1.6","false"
"BS4JG","Y","4","2025-05-30","2.15","true"
"BS10J","Y","10","2025-05-30","2.75","false"
"BS1M","M","1","2025-06-02","2","false"
"BS6MG","M","6","2025-06-02","1.75","true"
"BS12M","M","12","2025-06-02","1.6","false"
"BS4JG","Y","4","2025-06-02","2.15","true"
"BS10J","Y","10","2025-06-02","2.75","false"
"BS1M","M","1","2025-06-03","2","false"
"BS6MG","M","6","2025-06-03","1.75","true"
"BS12M","M","12","2025-06-03","1.6","false"
"BS4JG","Y","4","2025-06-03","2.15","true"
"BS10J","Y","10","2025-06-03","2.75","false"
"BS1M","M","1","2025-06-04","2","false"
"BS6MG","M","6","2025-06-04","1.75","true"
"BS12M","M","12","2025-06-04","1.6","false"
"BS4JG","Y","4","2025-06-04","2.15","true"
"BS10J","Y","10","2025-06-04","2.75","false"
"BS1M","M","1","2025-06-05","2","false"
"BS6MG","M","6","2025-06-05","1.75","true"
"BS12M","M","12","2025-06-05","1.6","false"
"BS4JG","Y","4","2025-06-05","2.15","true"
"BS10J","Y","10","2025-06-05","2.75","false"
"BS1M","M","1","2025-06-06","2","false"
"BS6MG","M","6","2025-06-06","1.75","true"
"BS12M","M","12","2025-06-06","1.6","false"
"BS4JG","Y","4","2025-06-06","2.15","true"
"BS10J","Y","10","2025-06-06","2.75","false"
"BS1M","M","1","2025-06-10","2","false"
"BS6MG","M","6","2025-06-10","1.75","true"
"BS12M","M","12","2025-06-10","1.6","false"
"BS4JG","Y","4","2025-06-10","2.15","true"
"BS10J","Y","10","2025-06-10","2.75","false"
"BS1M","M","1","2025-06-10","2","false"
"BS6MG","M","6","2025-06-10","1.75","true"
"BS12M","M","12","2025-06-10","1.6","false"
"BS4JG","Y","4","2025-06-10","2.15","true"
"BS10J","Y","10","2025-06-10","2.75","false"
"BS1M","M","1","2025-06-11","1.75","false"
"BS6MG","M","6","2025-06-11","1.65","true"
"BS12M","M","12","2025-06-11","1.5","false"
"BS4JG","Y","4","2025-06-11","2.1","true"
"BS10J","Y","10","2025-06-11","2.75","false"
"BS1M","M","1","2025-06-12","1.75","false"
"BS6MG","M","6","2025-06-12","1.65","true"
"BS12M","M","12","2025-06-12","1.5","false"
"BS4JG","Y","4","2025-06-12","2.1","true"
"BS10J","Y","10","2025-06-12","2.75","false"
"BS1M","M","1","2025-06-13","1.75","false"
"BS6MG","M","6","2025-06-13","1.65","true"
"BS12M","M","12","2025-06-13","1.5","false"
"BS4JG","Y","4","2025-06-13","2.1","true"
"BS10J","Y","10","2025-06-13","2.75","false"
"BS1M","M","1","2025-06-16","1.75","false"
"BS6MG","M","6","2025-06-16","1.65","true"
"BS12M","M","12","2025-06-16","1.5","false"
"BS4JG","Y","4","2025-06-16","2.1","true"
"BS10J","Y","10","2025-06-16","2.75","false"
"BS1M","M","1","2025-06-17","1.75","false"
"BS6MG","M","6","2025-06-17","1.65","true"
"BS12M","M","12","2025-06-17","1.5","false"
"BS4JG","Y","4","2025-06-17","2.1","true"
"BS10J","Y","10","2025-06-17","2.75","false"
"BS1M","M","1","2025-06-18","1.75","false"
"BS6MG","M","6","2025-06-18","1.65","true"
"BS12M","M","12","2025-06-18","1.5","false"
"BS4JG","Y","4","2025-06-18","2.1","true"
"BS10J","Y","10","2025-06-18","2.75","false"
"BS1M","M","1","2025-06-20","1.75","false"
"BS6MG","M","6","2025-06-20","1.65","true"
"BS12M","M","12","2025-06-20","1.5","false"
"BS4JG","Y","4","2025-06-20","2.1","true"
"BS10J","Y","10","2025-06-20","2.75","false"
"BS1M","M","1","2025-06-20","1.75","false"
"BS6MG","M","6","2025-06-20","1.65","true"
"BS12M","M","12","2025-06-20","1.5","false"
"BS4JG","Y","4","2025-06-20","2.1","true"
"BS10J","Y","10","2025-06-20","2.75","false"
"BS1M","M","1","2025-06-23","1.75","false"
"BS6MG","M","6","2025-06-23","1.65","true"
"BS12M","M","12","2025-06-23","1.5","false"
"BS4JG","Y","4","2025-06-23","2.1","true"
"BS10J","Y","10","2025-06-23","2.75","false"
"BS1M","M","1","2025-06-24","1.75","false"
"BS6MG","M","6","2025-06-24","1.65","true"
"BS12M","M","12","2025-06-24","1.5","false"
"BS4JG","Y","4","2025-06-24","2.1","true"
"BS10J","Y","10","2025-06-24","2.75","false"
"BS1M","M","1","2025-06-25","1.75","false"
"BS6MG","M","6","2025-06-25","1.65","true"
"BS12M","M","12","2025-06-25","1.5","false"
"BS4JG","Y","4","2025-06-25","2.1","true"
"BS10J","Y","10","2025-06-25","2.75","false"
"BS1M","M","1","2025-06-26","1.75","false"
"BS6MG","M","6","2025-06-26","1.65","true"
"BS12M","M","12","2025-06-26","1.5","false"
"BS4JG","Y","4","2025-06-26","2.1","true"
"BS10J","Y","10","2025-06-26","2.75","false"
"BS1M","M","1","2025-06-27","1.75","false"
"BS6MG","M","6","2025-06-27","1.65","true"
"BS12M","M","12","2025-06-27","1.5","false"
"BS4JG","Y","4","2025-06-27","2.1","true"
"BS10J","Y","10","2025-06-27","2.75","false"
"BS1M","M","1","2025-06-30","1.75","false"
"BS6MG","M","6","2025-06-30","1.65","true"
"BS12M","M","12","2025-06-30","1.5","false"
"BS4JG","Y","4","2025-06-30","2.1","true"
"BS10J","Y","10","2025-06-30","2.75","false"
"BS1M","M","1","2025-07-01","1.75","false"
"BS6MG","M","6","2025-07-01","1.65","true"
"BS12M","M","12","2025-07-01","1.5","false"
"BS4JG","Y","4","2025-07-01","2.1","true"
"BS10J","Y","10","2025-07-01","2.75","false"
